prompt_text;option1;option2;option3;option4;option5;option6;correct;image_url
Угадайте страну по флагу;Эквадор;Непал;Гвинея-Бисау;Гвинея;Хорватия;Сан-Марино;3;http://localhost:8000/tg/game/media/babd6e45-dace-4aa4-b716-1f1538246fb5.png
Угадайте страну по флагу;Сальвадор;Фиджи;Армения;Гамбия;Германия;Люксембург;5;http://localhost:8000/tg/game/media/5b592248-7444-474c-a7aa-9c0ac54916fe.png
Угадайте страну по флагу;Ливия;Лихтенштейн;Замбия;Афганистан;КНДР;Гондурас;6;http://localhost:8000/tg/game/media/6d51b33f-0507-4c9f-a6e3-f6ea650b514a.png
Угадайте страну по флагу;Гана;Гренада;Гвинея;США;Ирак;Эритрея;2;http://localhost:8000/tg/game/media/17dd3e95-19cc-49fb-9323-1abaadfa671a.png
Угадайте страну по флагу;Шри-Ланка;Греция;Казахстан;Исландия;Мексика;Уганда;2;http://localhost:8000/tg/game/media/85dec907-8d79-4b84-a8b1-f356ce737947.png
Угадайте страну по флагу;КНДР;Либерия;Никарагуа;Израиль;Грузия;Доминика;5;http://localhost:8000/tg/game/media/be6a34df-85f0-41f3-ab0a-ba08c4ebc7fc.png
Угадайте страну по флагу;Мальта;Куба;Ямайка;Бельгия;Дания;Канада;5;http://localhost:8000/tg/game/media/8b7eb0f3-182d-445d-823b-dac82aed0975.png
Угадайте страну по флагу;Гренада;Ватикан;Демократическая Республика Конго;Сент-Люсия;Антигуа и Барбуда;Йемен;3;http://localhost:8000/tg/game/media/5d6a264e-e53d-4201-83eb-c71c5cdc355a.png
Угадайте страну по флагу;Швейцария;Джибути;Коморские острова;Намибия;Лесото;Сомали;2;http://localhost:8000/tg/game/media/bbf7798c-5f16-437b-b5b9-e1f4f87ec701.png
Угадайте страну по флагу;Италия;ЦАР;Намибия;Багамские острова;Доминиканская Республика;Австралия;5;http://localhost:8000/tg/game/media/eda2167f-8489-41f0-9bc7-fa84afeb6080.png
Угадайте страну по флагу;Коморские острова;Турция;Сьерра-Леоне;Куба;Бельгия;Доминика;6;http://localhost:8000/tg/game/media/edadfe27-6418-49a1-891a-aeafbe0e2517.png
Угадайте страну по флагу;Египет;Марокко;Турция;Маршалловы острова;Финляндия;Кот-д’Ивуар;1;http://localhost:8000/tg/game/media/43e249b1-7985-4966-bb79-8d335b899ffb.png
Угадайте страну по флагу;Эритрея;Турция;Мадагаскар;Украина;Замбия;Гондурас;5;http://localhost:8000/tg/game/media/d4982170-82a3-42c6-96c7-9b802f52baca.png
Угадайте страну по флагу;Китай;Западная Сахара;Кения;Мьянма;Египет;Сент-Люсия;2;http://localhost:8000/tg/game/media/46b41d0c-cf56-4777-81d9-ed6b3507da15.png
Угадайте страну по флагу;Шри-Ланка;Зимбабве;Объединённые Арабские Эмираты;Перу;Узбекистан;Замбия;2;http://localhost:8000/tg/game/media/f94699c9-117a-4e08-8650-25ad83262905.png
Угадайте страну по флагу;Узбекистан;Ирак;Бразилия;Колумбия;Израиль;Королевство Эсватини;5;http://localhost:8000/tg/game/media/d84df3b4-ffa8-449a-8252-81bf427a7b48.png
Угадайте страну по флагу;Ирландия;Бенин;Судан;Объединённые Арабские Эмираты;Индия;Южный Судан;5;http://localhost:8000/tg/game/media/39bc1900-3eb2-43f1-bc19-344bb32e3b1d.png
Угадайте страну по флагу;Ирландия;Гайана;Мальта;Тувалу;Палестина;Индонезия;6;http://localhost:8000/tg/game/media/6658e0e5-59ee-4728-b1f8-40faa3773086.png
Угадайте страну по флагу;Португалия;Ниуэ;Иордания;Гренада;Финляндия;Бангладеш;3;http://localhost:8000/tg/game/media/264f13c7-602e-4c85-88eb-28fb93a177cb.png
Угадайте страну по флагу;Ниуэ;Турция;Ирак;Словакия;Саудовская Аравия;Республика Македония;3;http://localhost:8000/tg/game/media/8379c9e9-bcf8-4497-9496-5308fdc41487.png
Угадайте страну по флагу;Иран;Гватемала;Йемен;Нигерия;Объединённые Арабские Эмираты;Экваториальная Гвинея;1;http://localhost:8000/tg/game/media/ca418018-a9f4-423c-b368-a18b6af31b4f.png
Угадайте страну по флагу;Чад;Камерун;Ирландия;Кения;Болгария;Науру;3;http://localhost:8000/tg/game/media/2967932b-c40f-467a-be49-21d678ca084a.png
Угадайте страну по флагу;Малави;Индонезия;Филиппины;Габон;Исландия;Гамбия;5;http://localhost:8000/tg/game/media/ea31647a-7536-4918-bdde-e981eecd86c2.png
Угадайте страну по флагу;Испания;Куба;Новая Зеландия;Белиз;Мозамбик;Румыния;1;http://localhost:8000/tg/game/media/9920c9e8-766c-4c66-a060-a35b3e233644.png
Угадайте страну по флагу;Австрия;ЮАР;Сент-Китс и Невис;Оман;Италия;Мадагаскар;5;http://localhost:8000/tg/game/media/499d2904-f4d7-492d-a9e8-0703f94b6f7a.png
Угадайте страну по флагу;Зимбабве;Пакистан;Антигуа и Барбуда;Йемен;Камбоджа;Намибия;4;http://localhost:8000/tg/game/media/ad715081-58a8-46c4-ba45-901ffd03b8fe.png
Угадайте страну по флагу;Сьерра-Леоне;Венесуэла;Кабо-Верде;Новая Зеландия;Андорра;Россия;3;http://localhost:8000/tg/game/media/cf187990-91e9-44a2-9717-c75b12ff96ac.png
Угадайте страну по флагу;Вьетнам;Италия;Казахстан;Ниуэ;Греция;Бангладеш;3;http://localhost:8000/tg/game/media/945db28b-f890-489d-aca7-525183c77ffe.png
Угадайте страну по флагу;Королевство Эсватини;Камбоджа;Эфиопия;Лаос;Мадагаскар;Канада;2;http://localhost:8000/tg/game/media/141c1a10-bd98-4112-ab31-8363b55b1544.png
Угадайте страну по флагу;Румыния;Барбадос;Либерия;Израиль;Эритрея;Камерун;6;http://localhost:8000/tg/game/media/1877e375-425b-4d06-a18c-0530c9ee2f98.png
Угадайте страну по флагу;Канада;Ирак;Сьерра-Леоне;Доминиканская Республика;Гана;Ангола;1;http://localhost:8000/tg/game/media/26235b82-dc8a-45a4-b805-510848b74442.png
Угадайте страну по флагу;Испания;Катар;Южный Судан;Новая Зеландия;Люксембург;Франция;2;http://localhost:8000/tg/game/media/0425c90b-c608-4411-a2cb-0d8049a02013.png
Угадайте страну по флагу;Сент-Люсия;Бутан;Андорра;Сент-Китс и Невис;Колумбия;Кения;6;http://localhost:8000/tg/game/media/5be7a0dd-9cbd-49b3-9dd1-3dd461b658f7.png
Угадайте страну по флагу;Сирия;Таджикистан;Иран;Кипр;Фиджи;Болгария;4;http://localhost:8000/tg/game/media/dcb204f8-1393-4865-acc6-8769ac168cd0.png
Угадайте страну по флагу;Туркменистан;Россия;Киргизия;Монголия;Люксембург;Лесото;3;http://localhost:8000/tg/game/media/47f2344d-af19-4c16-a271-3f5dac6903b8.png
Угадайте страну по флагу;Мьянма;Тайвань;Палау;Кирибати;Бутан;Литва;4;http://localhost:8000/tg/game/media/5dbceebd-5cdf-4599-a98e-d116638b587b.png
Угадайте страну по флагу;Китай;Суринам;Руанда;Япония;Новая Зеландия;Острова Кука;1;http://localhost:8000/tg/game/media/ef5b5ad8-fe87-42c4-ae2e-de9e7136e187.png
Угадайте страну по флагу;Нигерия;Ботсвана;Камерун;КНДР;Королевство Эсватини;Иран;4;http://localhost:8000/tg/game/media/1c8a56d8-f14b-4864-ab1c-75795639055c.png
Угадайте страну по флагу;Палестина;Пакистан;Кот-д’Ивуар;Замбия;Колумбия;Греция;5;http://localhost:8000/tg/game/media/2f2b1a4f-3a11-4132-9ec8-7477c5f41f1c.png
Угадайте страну по флагу;Коморские острова;Сан-Томе и Принсипи;Португалия;Босния и Герцеговина;Дания;Азербайджан;1;http://localhost:8000/tg/game/media/2827293d-e720-44bd-929b-785e31f7a39b.png
Угадайте страну по флагу;Тонга;Косово;Объединённые Арабские Эмираты;Палау;Фиджи;Чад;2;http://localhost:8000/tg/game/media/76bf7eef-1a5d-4f28-b52f-8a6ff31f0cc4.png
Угадайте страну по флагу;Марокко;Филиппины;Коста-Рика;Китай;Иран;Туркменистан;3;http://localhost:8000/tg/game/media/c7af6eae-05aa-45e9-b36d-0aea1a932349.png
Угадайте страну по флагу;Монако;Ливан;Экваториальная Гвинея;Самоа;Куба;Кот-д’Ивуар;6;http://localhost:8000/tg/game/media/3c0e3250-7141-4f85-8da9-d2a93e5d6144.png
Угадайте страну по флагу;Демократическая Республика Конго;Чехия;Куба;Великобритания;Колумбия;Индонезия;3;http://localhost:8000/tg/game/media/8f5aeef9-ff4a-481e-bee9-60505dbd3c66.png
Угадайте страну по флагу;Острова Кука;Чили;Эквадор;Камбоджа;Кувейт;Сингапур;5;http://localhost:8000/tg/game/media/31e24dee-5c52-40d2-a85b-2f0bed823d3f.png
Угадайте страну по флагу;Литва;Лаос;Гренада;Индия;Кирибати;Кипр;2;http://localhost:8000/tg/game/media/3fad978b-5ffb-47d4-85cc-61ea4748d785.png
Угадайте страну по флагу;Кения;Сан-Марино;Венесуэла;Барбадос;Финляндия;Латвия;6;http://localhost:8000/tg/game/media/3fbec6ef-0caa-4f94-9edd-9277bf053cea.png
Угадайте страну по флагу;Оман;Грузия;Лесото;Лаос;Науру;Норвегия;3;http://localhost:8000/tg/game/media/fdd03b8e-96da-4b09-bfef-2d8465edf188.png
Угадайте страну по флагу;Бенин;Сент-Китс и Невис;Таиланд;Палау;Мальта;Либерия;6;http://localhost:8000/tg/game/media/dc91dda6-49d1-44bc-8021-dd7ef58b4a05.png
Угадайте страну по флагу;Босния и Герцеговина;Ливан;Великобритания;Ирландия;ЮАР;Сан-Томе и Принсипи;2;http://localhost:8000/tg/game/media/2bade898-616f-4c39-8df2-e00e88a1cbe1.png
Угадайте страну по флагу;Непал;Сингапур;Ливия;Нигерия;Монголия;Киргизия;3;http://localhost:8000/tg/game/media/457098db-f09e-4bba-9e7f-5c3967fe72a6.png
Угадайте страну по флагу;Замбия;Таджикистан;Йемен;Египет;ЮАР;Литва;6;http://localhost:8000/tg/game/media/3ec3bbdb-479e-4dc7-a4d7-a3986b5b150d.png
Угадайте страну по флагу;Гватемала;Сан-Марино;Болгария;Лихтенштейн;Маршалловы острова;Австралия;4;http://localhost:8000/tg/game/media/7713e727-8963-46c5-bd12-de2d8cd9da98.png
Угадайте страну по флагу;Хорватия;Франция;Люксембург;Катар;Индонезия;Канада;3;http://localhost:8000/tg/game/media/df5ca67f-a162-488a-a981-1577f3471e74.png
Угадайте страну по флагу;Израиль;Тонга;Монако;Маврикий;Сальвадор;Ватикан;4;http://localhost:8000/tg/game/media/bf61b3f1-123b-4705-98f3-97849c209191.png
Угадайте страну по флагу;Сенегал;Мавритания;Китай;Гвинея-Бисау;Эритрея;Словакия;2;http://localhost:8000/tg/game/media/f47c1fc3-37c0-420e-bc68-ed1985ec7942.png
Угадайте страну по флагу;Марокко;Румыния;Казахстан;Франция;Мадагаскар;Папуа — Новая Гвинея;5;http://localhost:8000/tg/game/media/f39bcf3e-5022-4abe-b82e-5892df0a36d4.png
Угадайте страну по флагу;Соломоновы острова;Исландия;Косово;Шри-Ланка;Малави;Мьянма;5;http://localhost:8000/tg/game/media/4671594e-c702-49f2-84db-14f298992b8b.png
Угадайте страну по флагу;Кабо-Верде;ЮАР;Малайзия;Афганистан;Сент-Китс и Невис;Узбекистан;3;http://localhost:8000/tg/game/media/b529ee80-11b2-4e2f-b9db-5fda3d16afad.png
Угадайте страну по флагу;Сербия;Бразилия;Намибия;Мали;Тайвань;Палау;4;http://localhost:8000/tg/game/media/59c604fd-094d-4c55-8dc4-efe351d92801.png
Угадайте страну по флагу;Уганда;Бурунди;Мексика;Гвинея;Кот-д’Ивуар;Мальдивы;6;http://localhost:8000/tg/game/media/a5062b0f-fd5a-48da-aa78-fa324d9184c3.png
Угадайте страну по флагу;Нидерланды;Самоа;Эфиопия;Ботсвана;Мальта;Армения;5;http://localhost:8000/tg/game/media/244f6564-8131-40e1-a0ab-0ef24c1c106f.png
Угадайте страну по флагу;Ниуэ;Марокко;Тунис;Австралия;Польша;Румыния;2;http://localhost:8000/tg/game/media/007986aa-4620-4ba3-bec5-3e8d8a621c0c.png
Угадайте страну по флагу;Непал;Маршалловы острова;Таджикистан;Панама;Эстония;Сьерра-Леоне;2;http://localhost:8000/tg/game/media/4c2c5113-66a6-4c8b-8760-45b4693b7dc2.png
Угадайте страну по флагу;Пакистан;Мексика;Финляндия;Науру;Венгрия;Катар;2;http://localhost:8000/tg/game/media/c5a0b9ad-4b65-4819-be6a-3ae23dc1f9b2.png
Угадайте страну по флагу;Мозамбик;Албания;Бразилия;Марокко;КНДР;Сан-Марино;1;http://localhost:8000/tg/game/media/069609d7-c009-4074-8f9e-914e0a799078.png
Угадайте страну по флагу;Молдавия;Панама;Черногория;Хорватия;Перу;Кения;1;http://localhost:8000/tg/game/media/1e9db06b-fcb8-4f69-b699-710bc879dd9d.png
Угадайте страну по флагу;Гайана;Мадагаскар;Нидерланды;Сан-Марино;Монако;Дания;5;http://localhost:8000/tg/game/media/62f06885-5d64-40e9-bb7b-256317170954.png
Угадайте страну по флагу;Монголия;Мексика;Парагвай;Кабо-Верде;Лаос;Ямайка;1;http://localhost:8000/tg/game/media/b6ceacb3-dc30-4e5a-8635-289d5b021036.png
Угадайте страну по флагу;Гамбия;Мьянма;Нигер;Острова Кука;Латвия;Руанда;2;http://localhost:8000/tg/game/media/ae2ab97e-2a84-43e5-b733-5886d50ef535.png
Угадайте страну по флагу;Мадагаскар;Ирак;Намибия;Дания;Сент-Винсент и Гренадины;Финляндия;3;http://localhost:8000/tg/game/media/0e3d4587-0853-4498-b724-65e1cf46c7e4.png
Угадайте страну по флагу;Мадагаскар;Науру;Тринидад и Тобаго;Хорватия;Туркменистан;Мавритания;2;http://localhost:8000/tg/game/media/12cd6bda-ff6a-4540-a532-5dc93b3b60b1.png
Угадайте страну по флагу;Албания;Буркина-Фасо;Республика Корея;Нидерланды;Намибия;Непал;6;http://localhost:8000/tg/game/media/ece96460-b216-4163-b3f0-2592ac7135f0.png
Угадайте страну по флагу;Сьерра-Леоне;Йемен;Норвегия;Болгария;Кувейт;Нигер;6;http://localhost:8000/tg/game/media/abc09b74-24b0-4fbe-af2e-aa86d269fb38.png
Угадайте страну по флагу;Черногория;Таджикистан;Эфиопия;Нигерия;Коморские острова;Пакистан;4;http://localhost:8000/tg/game/media/6f450998-4167-406b-bc5f-6350ce796d0e.png
Угадайте страну по флагу;Бразилия;Эритрея;Буркина-Фасо;Мьянма;Индия;Нидерланды;6;http://localhost:8000/tg/game/media/8baa4797-cf61-487d-9d21-9cb1809d22bf.png
Угадайте страну по флагу;Багамские острова;Кипр;Антигуа и Барбуда;Бахрейн;Никарагуа;Коста-Рика;5;http://localhost:8000/tg/game/media/209a552d-46a6-403c-ba76-d25ab789292a.png
Угадайте страну по флагу;Уругвай;Греция;Сейшельские острова;Республика Македония;Ниуэ;Маршалловы острова;5;http://localhost:8000/tg/game/media/4e91565c-696c-4875-98ba-3bebd6b58343.png
Угадайте страну по флагу;США;Сербия;Ирак;Панама;Новая Зеландия;Уругвай;5;http://localhost:8000/tg/game/media/3ec38eff-7c70-4e8a-bc8e-60c07c0ad9b8.png
Угадайте страну по флагу;Норвегия;Азербайджан;Нидерланды;Испания;Ниуэ;Турция;1;http://localhost:8000/tg/game/media/0f8341e8-e56c-4ac9-919d-9f69f9a694a7.png
Угадайте страну по флагу;Молдавия;Латвия;Сингапур;Танзания;Киргизия;Объединённые Арабские Эмираты;6;http://localhost:8000/tg/game/media/7c07be11-51aa-4f17-9c80-b85baa5417bd.png
Угадайте страну по флагу;Мадагаскар;Острова Кука;Иордания;Оман;Бутан;Мавритания;4;http://localhost:8000/tg/game/media/be88f870-207c-4ea1-9482-3dddb3cc30f2.png
Угадайте страну по флагу;Мали;Острова Кука;Тунис;Камбоджа;Ангола;Азербайджан;2;http://localhost:8000/tg/game/media/75027701-72a8-42fd-b53d-27db4ed5e19e.png
Угадайте страну по флагу;Тайвань;Сомали;Пакистан;Либерия;Зимбабве;Дания;3;http://localhost:8000/tg/game/media/c9291fbf-2b22-407d-817c-6c4b5937b5ea.png
Угадайте страну по флагу;Тонга;Палау;КНДР;Афганистан;Намибия;Таджикистан;2;http://localhost:8000/tg/game/media/de6889ad-daff-4e4a-899c-dde224d39d70.png
Угадайте страну по флагу;Бразилия;Эритрея;Коста-Рика;Мексика;Палестина;Кипр;5;http://localhost:8000/tg/game/media/204b57b0-805b-45c8-9e15-0531e342739d.png
Угадайте страну по флагу;Панама;Папуа — Новая Гвинея;Республика Македония;Испания;Казахстан;Гвинея-Бисау;1;http://localhost:8000/tg/game/media/e0dd87db-e284-4404-af30-9d7fbcd72101.png
Угадайте страну по флагу;Украина;Гаити;Болгария;Эстония;Израиль;Папуа — Новая Гвинея;6;http://localhost:8000/tg/game/media/edd5d9eb-663b-4109-9479-a902eb0cc1af.png
Угадайте страну по флагу;Албания;Йемен;Нигерия;Венгрия;Парагвай;Руанда;5;http://localhost:8000/tg/game/media/cc5fd547-51a9-4d23-9742-d6d2c8ad1202.png
Угадайте страну по флагу;Узбекистан;Бутан;Новая Зеландия;Индонезия;Перу;Андорра;5;http://localhost:8000/tg/game/media/295a33a4-5588-451b-89f2-b45f363d9a74.png
Угадайте страну по флагу;Беларусь;Польша;Франция;Тонга;Никарагуа;Тайвань;2;http://localhost:8000/tg/game/media/ed0df6d0-ce1e-4b3f-9fb9-b1fb031c6d08.png
Угадайте страну по флагу;Армения;Палау;Ватикан;Португалия;Бруней;Кирибати;4;http://localhost:8000/tg/game/media/46ec70c9-9a06-4cef-8765-04d255be89d6.png
Угадайте страну по флагу;Экваториальная Гвинея;Лихтенштейн;Республика Конго;Уганда;Румыния;Финляндия;3;http://localhost:8000/tg/game/media/76e8395b-fc72-405d-8796-68ded929eacd.png
Угадайте страну по флагу;Пакистан;Аргентина;Камерун;Суринам;Марокко;Республика Корея;6;http://localhost:8000/tg/game/media/fa4807ab-4c6e-4f18-84a4-354fea4cc6f5.png
Угадайте страну по флагу;Федеративные Штаты Микронезии;Республика Македония;Ливия;Иордания;Буркина-Фасо;Лихтенштейн;2;http://localhost:8000/tg/game/media/bc320ac8-97dc-43e1-bd55-8bbf0ce11a0f.png
Угадайте страну по флагу;Нигерия;Россия;Бразилия;Дания;Туркменистан;Венгрия;2;http://localhost:8000/tg/game/media/e7903018-67e9-440f-8a9c-7eb3375bd49e.png
Угадайте страну по флагу;Сейшельские острова;Доминика;Иран;Руанда;Венесуэла;Бельгия;4;http://localhost:8000/tg/game/media/6bc11302-90c2-4cbe-9fc3-626231c192c6.png
Угадайте страну по флагу;Камбоджа;Австралия;Япония;Словакия;Румыния;Гайана;5;http://localhost:8000/tg/game/media/ead2f018-1b43-46ba-8bd2-bb85d5029b58.png
Угадайте страну по флагу;Сальвадор;Албания;Туркменистан;Восточный Тимор;Ливан;Андорра;1;http://localhost:8000/tg/game/media/d60ca79d-a66c-4c46-a397-7b6edf6d9766.png
Угадайте страну по флагу;Эквадор;Венесуэла;Барбадос;Самоа;Йемен;Мозамбик;4;http://localhost:8000/tg/game/media/413d2df9-da08-4d9b-bb62-31b5714324c6.png
Угадайте страну по флагу;Бутан;Сан-Марино;Сирия;Ливия;Перу;Нигер;2;http://localhost:8000/tg/game/media/5515f555-f521-4bed-b773-40aa6c696946.png
Угадайте страну по флагу;Объединённые Арабские Эмираты;Антигуа и Барбуда;Того;Нидерланды;Сан-Томе и Принсипи;Белиз;5;http://localhost:8000/tg/game/media/23355daa-d9d4-4456-aeaa-f3edecefc1b5.png
Угадайте страну по флагу;Саудовская Аравия;Гайана;Сомали;Косово;Боливия;Бенин;1;http://localhost:8000/tg/game/media/fde93f31-6816-4d88-a83d-fc045ddee26d.png
