страна;столица;население;валюта;флаг
Непал;Катманду;29.609.623 (2019);непальская рупия (NPR);nepal.png
Нигер;Ниамей;22.314.743 (2019);франк кфа bceao (XOF);niger.png
Нигерия;Абуджа;200.963.599 (2019);нигерийская найра (NGN);nigeria.png
Нидерланды;Амстердам;17.438.081 (2020);евро (EUR);netherlands.png
Никарагуа;Манагуа;6.460.411 (2018);никарагуанская кордоба (NIO);nicaragua.png
Ниуэ;Алофи;1.620 (2018);новозеландский доллар (NZD);niue.png
Новая Зеландия;Веллингтон;4.961.213 (2020);новозеландский доллар (NZD);new-zealand.png
Норвегия;Осло;5.356.789 (2019);норвежская крона (NOK);norway.png
Объединённые Арабские Эмираты;Абу-Даби;9.770.529 (2019);дирхам оаэ (AED);united-arab-emirates.png
Оман;Маскат;4.664.790 (2020);оманский риал (OMR);oman.png
Острова Кука;Аваруа;17.518 (2018);новозеландский доллар (NZD);cook-islands.png
Пакистан;Исламабад;218.741.520 (2020);пакистанская рупия (PKR);pakistan.png
Палау;Нгерулмуд;17.900 (2018);доллар сша (USD);palau.png
Палестина;Восточный Иерусалим;5.051.953 (2020);;palestine.png
Панама;Панама;4.218.808 (2019);панамский бальбоа (PAB);panama.png
Папуа — Новая Гвинея;Порт-Морсби;8.935.000 (2020);кина папуа — новой гвинеи (PGK);papua-new-guinea.png
Парагвай;Асунсьон;7.152.703 (2019);парагвайский гуарани (PYG);paraguay.png
Перу;Лима;32.131.400 (2019);перуанский новый соль (PEN);peru.png
Польша;Варшава;38.386.000 (2019);польский злотый (PLN);poland.png
Португалия;Лиссабон;10.276.617 (2018);евро (EUR);portugal.png
Республика Конго;Браззавиль;5.380.508 (2019);конголезский франк (CDF);republic-congo.png
Республика Корея;Сеул;51.780.579 (2020);южнокорейская вона (KRW);south-korea.png
Республика Македония;Скопье;2.077.132 (2018);македонский денар (MKD);north-macedonia.png
Россия;Москва;146.780.720 (2019);российский рубль (RUB);russia.png
Руанда;Кигали;12.374.397 (2019);руандийский франк (RWF);rwanda.png
Румыния;Бухарест;19.405.156 (2019);румынский лей (RON);romania.png
Сальвадор;Сан-Сальвадор;6.704.864 (2019);;sv.png
Самоа;Апиа;200.874 (2019);самоанская тала (WST);america-samoa.png
Сан-Марино;Сан-Марино;33.574 (2019);евро (EUR);san-marino.png
Сан-Томе и Принсипи;Сан-Томе;201.784 (2018);добра сан-томе и принсипи (STD);sao-tome.png
Саудовская Аравия;Эр-Рияд;34.218.169 (2019);саудовский риял (SAR);saudi-arabia.png
Сейшельские острова;Виктория;97.625 (2019);сейшельская рупия (SCR);seychelles.png
Сенегал;Дакар;16.209.125 (2019);франк кфа bceao (XOF);senegal.png
Сент-Винсент и Гренадины;Кингстаун;110.608 (2019);восточно-карибский доллар (XCD);vc.png
Сент-Китс и Невис;Бастер;52.823 (2019);восточно-карибский доллар (XCD);kn.png
Сент-Люсия;Кастри;178.696 (2018);восточно-карибский доллар (XCD);lc.png
Сербия;Белград;6.963.764 (2019);сербский динар (RSD);serbia.png
Сингапур;Сингапур;5.703.600 (2019);сингапурский доллар (SGD);singapore.png
Сирия;Дамаск;17.070.135 (2019);сирийский фунт (SYP);syria.png
Словакия;Братислава;5.456.362 (2019);евро (EUR);slovakia.png
Словения;Любляна;2.094.060 (2019);евро (EUR);slovenia.png
Соломоновы острова;Хониара;680.806 (2019);доллар соломоновых островов (SBD);solomon-islands.png
Сомали;Могадишо;15.442.905 (2019);сомалийский шиллинг (SOS);somalia.png
Судан;Хартум;42.295.645 (2020);суданский фунт (SDG);sudan.png
Суринам;Парамарибо;581.372 (2019);суринамский доллар (SRD);suriname.png
США;Вашингтон;329.345.637 (2020);доллар сша (USD);united-states.png
Сьерра-Леоне;Фритаун;7.901.454 (2019);сьерра-леонский леоне (SLL);sierra-leone.png
Таджикистан;Душанбе;9.127.000 (2019);таджикский сомони (TJS);tajikistan.png
Таиланд;Бангкок;66.474.267 (2020);тайский бат (THB);thailand.png
Тайвань;Тайбэй;23.780.452 (2018);китайский юань (CNY);taiwan.png
Танзания;Додома;55.890.747 (2019);танзанийский шиллинг (TZS);tanzania.png
Того;Ломе;7.538.000 (2019);франк кфа bceao (XOF);togo.png
Тонга;Нукуалофа;100.651 (2016);тонганская паанга (TOP);tonga.png
Тринидад и Тобаго;Порт-оф-Спейн;1.363.985 (2019);доллар тринидада и тобаго (TTD);trinidad-tobago.png
Тувалу;Фунафути;10.200 (2018);доллар тувалу (AUD);tuvalu.png
Тунис;Тунис;11.722.038 (2019);тунисский динар (TND);tunisia.png
Туркменистан;Ашхабад;5.942.089 (2019);туркменский манат (TMM);turkmenustan.png
Турция;Анкара;83.154.997 (2019);турецкая лира (TRY);turkey.png
Уганда;Кампала;40.299.300 (2019);угандийский шиллинг (UGX);uganda.png
Узбекистан;Ташкент;34.034.952 (2020);узбекский сум (UZS);uzbekistan.png
Украина;Киев;41.902.416 (2020);украинская гривна (UAH);ukraine.png
Уругвай;Монтевидео;3.518.552 (2019);уругвайское песо (UYU);uruguay.png
Федеративные Штаты Микронезии;Паликир;104.468 (2019);доллар сша (USD);fm.png
Фиджи;Сува;884.887 (2017);доллар фиджи (FJD);fiji.png
Филиппины;Манила;108.323.702 (2020);филиппинское песо (PHP);philippines.png
Финляндия;Хельсинки;5.527.573 (2019);евро (EUR);finland.png
Франция;Париж;67.064.000 (2020);евро (EUR);france.png
Хорватия;Загреб;4.076.246 (2018);хорватская куна (HRK);hr.png
ЦАР;Банги;5.496.011 (2019);франк кфа beac (XAF);central-african-republic.png
Чад;Нджамена;15.692.969 (2019);франк кфа beac (XAF);td.png
Черногория;Подгорица;622.359 (2018);евро (EUR);montenegro.png
Чехия;Прага;10.681.161 (2019);чешская крона (CZK);czech-republic.png
Чили;Сантьяго;19.107.216 (2019);чилийское песо (CLP);chile.png
Швейцария;Берн;8.586.550 (2019);швейцарский франк (CHF);switzerland.png
Швеция;Стокгольм;10.327.589 (2019);шведская крона (SEK);sweden.png
Шри-Ланка;Шри-Джаяварденепура-Котте;21.803.000 (2019);шри-ланкийская рупия (LKR);sri-lanka.png
Эквадор;Кито;17.431.712 (2020);доллар сша (USD);ecuador.png
Экваториальная Гвинея;Малабо;1.358.276 (2018);франк кфа beac (XAF);gq.png
Эритрея;Асмэра;3.497.117 (2019);эритрейская накфа (ERN);eritrea.png
Королевство Эсватини;Мбабене;1.093.238 (2017);свазилендский лилангени (SZL);eswatini.png
Эстония;Таллин;1.328.360 (2020);евро (EUR);estonia.png
Эфиопия;Аддис-Абеба;98.665.000 (2019);эфиопский быр (ETB);ethiopia.png
ЮАР;Претория;58.775.022 (2019);южноафриканский ранд (ZAR);za.png
Южный Судан;Джуба;12.778.250 (2019);южносуданский фунт (SSP);south-sudan.png
Ямайка;Кингстон;2.726.667 (2018);ямайский доллар (JMD);jamaica.png
Япония;Токио;126.010.000 (2020);японская иена (JPY);japan.png
